Show,EpId,ClipId,Start,Stop,is_stutter,stutter_ratio,calculated_raters
HeStutters,0,17,6970880,7018880,0,0.0,3
HeStutters,0,18,8215200,8263200,0,0.3333333333333333,3
HeStutters,0,19,9985280,10033280,0,0.3333333333333333,3
HeStutters,0,20,11197600,11245600,0,0.0,3
HeStutters,0,26,3562240,3610240,0,0.0,3
HeStutters,1,0,2152480,2200480,1,1.0,3
HeStutters,1,1,27906400,27954400,0,0.3333333333333333,3
HeStutters,1,2,28160960,28208960,0,0.3333333333333333,3
HeStutters,1,3,28193760,28241760,0,0.3333333333333333,3
HeStutters,1,4,28351360,28399360,0,0.0,3
HeStutters,1,5,28390400,28438400,1,1.0,3
HeStutters,1,6,28443200,28491200,0,0.3333333333333333,3
HeStutters,1,7,28506080,28554080,1,1.0,3
HeStutters,1,8,28539840,28587840,1,0.6666666666666666,3
HeStutters,1,9,29043360,29091360,0,0.3333333333333333,3
HeStutters,1,10,29077440,29125440,1,1.0,3
HeStutters,1,11,29396960,29444960,1,1.0,3
HeStutters,1,12,29445280,29493280,1,0.6666666666666666,3
HeStutters,1,13,29497920,29545920,1,0.6666666666666666,3
HeStutters,1,14,29571040,29619040,1,1.0,3
HeStutters,1,17,5026880,5074880,1,1.0,3
HeStutters,1,18,5063040,5111040,1,0.75,4
HeStutters,1,37,5095680,5143680,1,1.0,5
HeStutters,1,57,5247680,5295680,1,0.75,4
HeStutters,1,58,5284000,5332000,0,0.3333333333333333,3
HeStutters,1,79,5950880,5998880,0,0.3333333333333333,3
HeStutters,1,80,6016640,6064640,1,1.0,4
HeStutters,1,96,6270720,6318720,1,1.0,3
HeStutters,1,97,6303360,6351360,0,0.3333333333333333,3
HeStutters,1,105,6492320,6540320,1,0.6666666666666666,3
HeStutters,1,106,6530560,6578560,1,1.0,3
HeStutters,1,107,6638560,6686560,0,0.0,3
HeStutters,1,108,6675360,6723360,1,0.6666666666666666,3
HeStutters,1,109,6978880,7026880,1,0.6666666666666666,3
HeStutters,1,110,7013120,7061120,0,0.0,3
HeStutters,1,111,7108160,7156160,0,0.3333333333333333,3
HeStutters,1,112,7141120,7189120,1,1.0,4
HeStutters,1,113,7456800,7504800,0,0.3333333333333333,3
HeStutters,1,114,7494880,7542880,0,0.3333333333333333,3
HeStutters,1,115,2648640,2696640,1,1.0,3
HeStutters,1,116,2704800,2752800,1,1.0,5
HeStutters,1,117,7921280,7969280,0,0.3333333333333333,3
HeStutters,1,118,7956000,8004000,1,0.6666666666666666,3
HeStutters,1,119,8123040,8171040,0,0.3333333333333333,3
HeStutters,1,120,8170240,8218240,1,1.0,4
HeStutters,1,121,8976480,9024480,0,0.0,3
HeStutters,1,122,9014560,9062560,0,0.3333333333333333,3
HeStutters,1,123,9140640,9188640,1,0.5,4
HeStutters,1,124,9187840,9235840,0,0.3333333333333333,3
HeStutters,1,125,9227520,9275520,1,1.0,4
HeStutters,1,126,9375360,9423360,0,0.0,3
HeStutters,1,127,9410720,9458720,1,1.0,4
HeStutters,1,128,9708320,9756320,1,0.6666666666666666,3
HeStutters,1,129,9746240,9794240,1,1.0,6
HeStutters,1,130,10119040,10167040,1,0.5,4
HeStutters,1,131,10160800,10208800,0,0.0,3
HeStutters,1,132,10280320,10328320,1,0.6666666666666666,3
HeStutters,1,133,10518720,10566720,1,1.0,5
HeStutters,1,134,10564160,10612160,1,0.5,4
HeStutters,1,135,2934400,2982400,1,0.75,4
HeStutters,1,136,2978720,3026720,1,0.5,4
HeStutters,1,137,12466240,12514240,1,1.0,5
